연도,시간대,사고건수합계
2019,0~6,8
2019,8~10,3
2019,14~18,12
2019,18~20,7
2020,0~6,3
2020,8~10,1
2020,14~18,11
2020,18~20,2
2021,0~6,2
2021,8~10,3
2021,14~18,14
2021,18~20,7
