연도,시간대,사고건수합계
2019,0~6,4
2019,14~18,6
2019,18~20,5
2019,8~10,6
2020,0~6,3
2020,14~18,14
2020,18~20,4
2020,8~10,5
2021,0~6,2
2021,14~18,17
2021,18~20,6
2021,8~10,6
